FID,AREA,GRID_CODE,SQFT,ACRES,SQMI,SHAPE_Length,SHAPE_Area
278,6724,6,6724,0.1543618,0.0002411903,131.882804308028,1087.06304697135
279,6724,6,6724,0.1543618,0.0002411903,131.870518366069,1086.86051961628
280,40344,3,40344,0.92617083,0.001447142,395.621401762897,6521.48444527702
281,114308,5,114308,2.624151,0.0041002361,791.50454717477,18477.8640118526
282,73964,6,73964,1.69798,0.002653094,593.509946777001,11954.0795384843
283,6724,6,6724,0.1543618,0.0002411903,131.887818657031,1087.14571224322
284,26896,6,26896,0.6174472,0.00096476119,329.562606172266,4347.80639655403
285,73964,14,73964,1.69798,0.002653094,527.531503415062,11957.7028976664
286,13448,6,13448,0.3087236,0.00048238059,197.933478453563,2173.72722767485
287,26896,6,26896,0.6174472,0.00096476119,263.753744397566,4347.86103658787
288,33620,14,33620,0.77180898,0.001205952,329.846062141604,5435.69737041822
289,33620,6,33620,0.77180898,0.001205952,395.622337528133,5434.60013188395
290,20172,3,20172,0.46308541,0.00072357088,263.729290372472,3260.28944117454
291,114308,5,114308,2.624151,0.0041002361,791.052052420063,18480.54976327
292,141204,5,141204,3.2415979,0.0050649969,725.234745803625,22828.7243963953
293,6724,6,6724,0.1543618,0.0002411903,131.871869320254,1086.88279224052
294,53792,5,53792,1.234894,0.001929522,395.57760642096,8693.38969658708
295,20172,6,20172,0.46308541,0.00072357088,263.749403198004,3260.78753223603
296,13448,6,13448,0.3087236,0.00048238059,197.704466280006,2174.2914266073
297,1082564,5,1082564,24.852249,0.03883164,3626.02265524567,174957.592452151
298,6724,5,6724,0.1543618,0.0002411903,131.877314610229,1086.97255219868
299,134480,14,134480,3.0872359,0.0048238062,725.4918333379,21741.815198363
300,121032,6,121032,2.778512,0.0043414249,923.348910911567,19563.548442112
301,40344,14,40344,0.92617083,0.001447142,395.654335900085,6522.57205771394
302,13448,6,13448,0.3087236,0.00048238059,197.692992248179,2174.04156393368
303,6724,6,6724,0.1543618,0.0002411903,131.860512269963,1086.69558647809
304,20172,3,20172,0.46308541,0.00072357088,263.522238728384,3261.47159892289
305,443784,5,443784,10.18788,0.01591856,2110.21956608833,71735.0072513323
306,33620,5,33620,0.77180898,0.001205952,395.910736567081,5435.52728450233
307,26896,5,26896,0.6174472,0.00096476119,329.559145137571,4347.71386027829
308,100860,3,100860,2.3154271,0.003617855,725.169172556176,16303.3029182834
309,6724,5,6724,0.1543618,0.0002411903,131.861885903425,1086.71822826338
310,47068,14,47068,1.080533,0.001688333,461.480827258945,7610.04888354575
311,6724,2,6724,0.1543618,0.0002411903,131.880765865825,1087.02944705628
312,26896,5,26896,0.6174472,0.00096476119,329.841720539815,4348.44228537676
313,73964,14,73964,1.69798,0.002653094,461.434467467652,11956.2512358824
314,161376,14,161376,3.7046831,0.005788567,791.254340658642,26086.687127885
315,40344,6,40344,0.92617083,0.001447142,395.59257980388,6520.53900411005
316,268960,6,268960,6.1744719,0.0096476125,1383.94795487218,43470.9616657024
317,6724,6,6724,0.1543618,0.0002411903,131.873260368485,1086.90571958853
318,73964,3,73964,1.69798,0.002653094,527.268882241715,11957.3605126672
319,13448,6,13448,0.3087236,0.00048238059,197.705903485209,2174.32632256636
320,47068,11,47068,1.080533,0.001688333,395.630943611369,7608.76615179654
321,6724,5,6724,0.1543618,0.0002411903,131.866521639999,1086.79463668247
322,26896,6,26896,0.6174472,0.00096476119,263.777115659747,4348.6300029226
323,13448,3,13448,0.3087236,0.00048238059,197.685597429473,2173.88111350268
324,26896,5,26896,0.6174472,0.00096476119,263.763760739368,4348.19120426451
325,47068,5,47068,1.080533,0.001688333,395.344122407944,7607.53897945255
326,33620,6,33620,0.77180898,0.001205952,329.829253142825,5435.15067219824
327,13448,5,13448,0.3087236,0.00048238059,197.962035790285,2174.35386886498
328,73964,14,73964,1.69798,0.002653094,527.497974283702,11956.1704772958
329,73964,6,73964,1.69798,0.002653094,526.963841218744,11955.0794808937
330,9615320,5,9615320,220.737,0.34490201,22944.7245847735,1554154.57327092
331,26896,5,26896,0.6174472,0.00096476119,329.795581760625,4347.23334594204
332,33620,6,33620,0.77180898,0.001205952,329.848635009312,5435.78835263571
333,26896,3,26896,0.6174472,0.00096476119,329.814859159891,4347.73936244892
334,6724,6,6724,0.1543618,0.0002411903,131.875366736902,1086.94044183955
335,6724,5,6724,0.1543618,0.0002411903,131.887310731712,1087.13734154897
336,20172,14,20172,0.46308541,0.00072357088,263.762007308224,3261.10343732753
337,53792,6,53792,1.234894,0.001929522,461.412218242722,8694.61782033289
338,20172,5,20172,0.46308541,0.00072357088,263.522922906817,3261.49071218034
339,20172,5,20172,0.46308541,0.00072357088,263.752455937173,3260.86133952817
340,100860,11,100860,2.3154271,0.003617855,593.367810333061,16307.1916759278
341,6724,6,6724,0.1543618,0.0002411903,131.878377730522,1086.99008163598
342,6724,5,6724,0.1543618,0.0002411903,131.868874589237,1086.83342566869
343,40344,6,40344,0.92617083,0.001447142,395.604904083182,6520.94704556846
344,121032,3,121032,2.778512,0.0043414249,857.357257588812,19566.7494751945
345,1089288,5,1089288,25.006611,0.03907283,2109.86220463215,176060.323188459
346,13448,6,13448,0.3087236,0.00048238059,197.945953617192,2174.00032880533
347,53792,3,53792,1.234894,0.001929522,461.694300020236,8695.64709516443
348,13448,5,13448,0.3087236,0.00048238059,197.930200794698,2173.65588090234
349,13448,6,13448,0.3087236,0.00048238059,197.931532487513,2173.68526251186
350,127756,14,127756,2.932874,0.004582616,791.323697939067,20655.6409552859
351,40344,5,40344,0.92617083,0.001447142,395.411835394098,6522.97735033088
352,47068,6,47068,1.080533,0.001688333,395.6462443386,7609.36338911003
353,235340,14,235340,5.4026632,0.0084416606,1253.72953790727,38044.1203598914
354,511024,5,511024,11.7315,0.01833047,1912.70215069423,82595.9022216746
355,6724,3,6724,0.1543618,0.0002411903,131.86938577168,1086.84184948072
356,6724,6,6724,0.1543618,0.0002411903,131.876754670523,1086.96332017988
357,13448,14,13448,0.3087236,0.00048238059,197.953707230931,2174.17039058382
358,47068,14,47068,1.080533,0.001688333,461.672363861859,7607.96152578871
359,322752,5,322752,7.4093671,0.01157714,1187.49890910772,52183.0555390907
360,20172,14,20172,0.46308541,0.00072357088,263.767391548129,3261.23316566943
361,26896,14,26896,0.6174472,0.00096476119,329.82001450418,4347.87094055307
362,6724,6,6724,0.1543618,0.0002411903,131.870471127656,1086.85974615354
